"","id","Rodovia","SNV","Km","Lado","Tipo","P_constr","N_Pessoas","UN_ID","Ocup_2000","Ocup_2010","Ocup_2018","UN_ORIG_FI","n","distance","feature_x","feature_y","xcoord","ycoord","zcoord","mvalue"
"1","F1810",NA,NA,NA,NA,NA,NA,NA,"F1812",1,0,0,359,1,101.453106416055,816573.431493639,9119546.02510533,-36.1287379212667,-7.9552932977223,-999999,0
"2","F1811",NA,NA,NA,NA,NA,NA,NA,"F1812",1,0,0,359,1,87.3128833809664,816571.617960179,9119531.68739146,-36.1287534536421,-7.95542294042614,-999999,0
"3","F1811",NA,NA,NA,NA,NA,NA,NA,"F1812",1,0,0,359,1,77.4166546321961,816570.28344297,9119521.60527243,-36.128764912855,-7.95551410743415,-999999,0
"4","F1811",NA,NA,NA,NA,NA,NA,NA,"F1812",1,0,0,359,1,69.4438615948216,816569.184117601,9119513.43050117,-36.1287743607339,-7.95558802843883,-999999,0
"5","F1793",NA,NA,NA,NA,NA,NA,NA,"F1791",1,0,0,360,1,28.7823761746325,816647.174257387,9120230.3394958,-36.1281127019436,-7.94910648044451,-999999,0
"6","F1687",NA,NA,NA,NA,NA,NA,NA,"F1693",1,0,0,108,1,90.7202689159478,817702.387500576,9122199.18795699,-36.1186745677841,-7.93125351894571,-999999,0
"7","F1688",NA,NA,NA,NA,NA,NA,NA,"F1693",1,0,0,108,1,85.5677984881768,817705.209000576,9122203.50995699,-36.1186492729836,-7.93121429665012,-999999,0
"8","F1688",NA,NA,NA,NA,NA,NA,NA,"F1693",1,0,0,108,1,80.7425266569489,817707.873000576,9122207.54645699,-36.1186253873931,-7.93117766346471,-999999,0
"9","F1689",NA,NA,NA,NA,NA,NA,NA,"F1693",1,0,0,108,1,72.3840783083313,817712.408500552,9122214.58645701,-36.1185847323851,-7.93111377901579,-999999,0
"10","F1690",NA,NA,NA,NA,NA,NA,NA,"F1693",1,0,0,108,1,61.8867684145281,817718.051000576,9122223.46395699,-36.1185341620421,-7.93103322500097,-999999,0
"11","F1690",NA,NA,NA,NA,NA,NA,NA,"F1693",1,0,0,108,1,51.3841306801143,817723.371000576,9122232.52795699,-36.1184865257578,-7.9309510063669,-999999,0
