Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,id,Ocup_2000,Ocup_2010,Ocup_2018,xcoord,ycoord,NM_MU,CODMU,COD_1,COD_UF,UF,COD_2,ANO,IVS_2000,IVS_INF_00,IVS_CPH_00,IVS_REN_00,2010_ANO,IVS_2010,IVS_INF_10,IVS_CPH_10,IVS_REN_10,fid,ID_UNICO,nome_1KM,nome_5KM,nome_10KM,nome_50KM,nome_100KM,nome_500KM,QUADRANTE,MASC,FEM,POP,DOM_OCU,area,perimeter,URB_RURAL,Dens_Dom,Dens_hab
,,,,,,"-1","0","-1",,,F1810,1,0,0,-36.1287379212667,-7.9552932977223,TAQUARITINGA DO NORTE,2615003,261500,26,Pernambuco,2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,260,200ME69444N103918,1KME6944N10391,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,79,81,160,48,40085.9284667969,800.922815063788,1,0.001,0.003991425573004
,,,,,,"-1","0","-1",,,F1811,1,0,0,-36.1287534536421,-7.95542294042614,TAQUARITINGA DO NORTE,2615003,261500,26,Pernambuco,2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,260,200ME69444N103918,1KME6944N10391,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,79,81,160,48,40085.9284667969,800.922815063788,1,0.001,0.003991425573004
,,,,,,"-1","0","-1",,,F1811,1,0,0,-36.128764912855,-7.95551410743415,TAQUARITINGA DO NORTE,2615003,261500,26,Pernambuco,2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,260,200ME69444N103918,1KME6944N10391,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,79,81,160,48,40085.9284667969,800.922815063788,1,0.001,0.003991425573004
,,,,,,"-1","0","-1",,,F1811,1,0,0,-36.1287743607339,-7.95558802843883,TAQUARITINGA DO NORTE,2615003,261500,26,Pernambuco,2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,260,200ME69444N103918,1KME6944N10391,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,79,81,160,48,40085.9284667969,800.922815063788,1,0.001,0.003991425573004
,,,,,,"-1","0","-1",,,F1805,1,0,0,-36.1286836277324,-7.95445820854311,TAQUARITINGA DO NORTE,2615003,261500,26,Pernambuco,2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,260,200ME69444N103918,1KME6944N10391,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,79,81,160,48,40085.9284667969,800.922815063788,1,0.001,0.003991425573004
,,,,,,"-1","0","-1",,,F1804,1,0,0,-36.1286651373545,-7.95429269525093,TAQUARITINGA DO NORTE,2615003,261500,26,Pernambuco,2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,260,200ME69444N103918,1KME6944N10391,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,79,81,160,48,40085.9284667969,800.922815063788,1,0.001,0.003991425573004
,,,,,,"-1","0","-1",,,F1809,1,0,0,-36.1287334100008,-7.95525487381228,TAQUARITINGA DO NORTE,2615003,261500,26,Pernambuco,2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,260,200ME69444N103918,1KME6944N10391,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,79,81,160,48,40085.9284667969,800.922815063788,1,0.001,0.003991425573004
,,,,,,"-1","0","-1",,,F1802,1,0,0,-36.1285672241922,-7.95357322950631,TAQUARITINGA DO NORTE,2615003,261500,26,Pernambuco,2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,265,200ME69444N103920,1KME6944N10391,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,50,45,95,25,40085.9407958984,800.922917324911,1,0.001,0.002369908205066
,,,,,,"-1","0","-1",,,F1803,1,0,0,-36.1286124897077,-7.95390323257468,TAQUARITINGA DO NORTE,2615003,261500,26,Pernambuco,2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,265,200ME69444N103920,1KME6944N10391,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,50,45,95,25,40085.9407958984,800.922917324911,1,0.001,0.002369908205066
,,,,,,"-1","0","-1",,,F1471,1,0,0,-36.1278515831585,-7.95413850313105,TAQUARITINGA DO NORTE,2615003,261500,26,Pernambuco,2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,266,200ME69446N103920,1KME6944N10391,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,0,0,0,0,40085.7886962891,800.921393330895,1,0,0
