cod;id;Ocup_2000;Ocup_2010;Ocup_2018;xcoord;ycoord;NM_MU;CODMU;COD_1;COD_UF;UF;COD_2;ANO;IVS_2000;IVS_INF_00;IVS_CPH_00;IVS_REN_00;IVS_2010;IVS_INF_10;IVS_CPH_10;IVS_REN_10;fid;MASC;FEM;POP;DOM_OCU;area;perimeter;URB_RURAL;Dens_Dom;Dens_hab;MRT;VTN_MED;VTN_MIN;VTN_MAX;IDEX
1;F1810;1;0;0;-36,1287379213;-7,9552932977;TAQUARITINGA DO NORTE;2615003;261500;26;Pernambuco;2615003;2000;0,539;0,406;0,656;0,555;0,385;0,255;0,495;0,406;260;79;81;160;48;40085,9284667969;800,9228150638;1;0,001;0,0039914256;MRT V;2395,28;1258,93;3531,64;135
2;F1811;1;0;0;-36,1287534536;-7,9554229404;TAQUARITINGA DO NORTE;2615003;261500;26;Pernambuco;2615003;2000;0,539;0,406;0,656;0,555;0,385;0,255;0,495;0,406;260;79;81;160;48;40085,9284667969;800,9228150638;1;0,001;0,0039914256;MRT V;2395,28;1258,93;3531,64;135
3;F1811;1;0;0;-36,1287649129;-7,9555141074;TAQUARITINGA DO NORTE;2615003;261500;26;Pernambuco;2615003;2000;0,539;0,406;0,656;0,555;0,385;0,255;0,495;0,406;260;79;81;160;48;40085,9284667969;800,9228150638;1;0,001;0,0039914256;MRT V;2395,28;1258,93;3531,64;135
4;F1805;1;0;0;-36,1286836277;-7,9544582085;TAQUARITINGA DO NORTE;2615003;261500;26;Pernambuco;2615003;2000;0,539;0,406;0,656;0,555;0,385;0,255;0,495;0,406;260;79;81;160;48;40085,9284667969;800,9228150638;1;0,001;0,0039914256;MRT V;2395,28;1258,93;3531,64;135
5;F1804;1;0;0;-36,1286651374;-7,9542926953;TAQUARITINGA DO NORTE;2615003;261500;26;Pernambuco;2615003;2000;0,539;0,406;0,656;0,555;0,385;0,255;0,495;0,406;260;79;81;160;48;40085,9284667969;800,9228150638;1;0,001;0,0039914256;MRT V;2395,28;1258,93;3531,64;135
6;F1809;1;0;0;-36,12873341;-7,9552548738;TAQUARITINGA DO NORTE;2615003;261500;26;Pernambuco;2615003;2000;0,539;0,406;0,656;0,555;0,385;0,255;0,495;0,406;260;79;81;160;48;40085,9284667969;800,9228150638;1;0,001;0,0039914256;MRT V;2395,28;1258,93;3531,64;135
7;F1802;1;0;0;-36,1285672242;-7,9535732295;TAQUARITINGA DO NORTE;2615003;261500;26;Pernambuco;2615003;2000;0,539;0,406;0,656;0,555;0,385;0,255;0,495;0,406;265;50;45;95;25;40085,9407958984;800,9229173249;1;0,001;0,0023699082;MRT V;2395,28;1258,93;3531,64;135
8;F1803;1;0;0;-36,1286124897;-7,9539032326;TAQUARITINGA DO NORTE;2615003;261500;26;Pernambuco;2615003;2000;0,539;0,406;0,656;0,555;0,385;0,255;0,495;0,406;265;50;45;95;25;40085,9407958984;800,9229173249;1;0,001;0,0023699082;MRT V;2395,28;1258,93;3531,64;135
9;F1471;1;0;0;-36,1278515832;-7,9541385031;TAQUARITINGA DO NORTE;2615003;261500;26;Pernambuco;2615003;2000;0,539;0,406;0,656;0,555;0,385;0,255;0,495;0,406;266;0;0;0;0;40085,7886962891;800,9213933309;1;0;0;MRT V;2395,28;1258,93;3531,64;135
10;F1793;1;0;0;-36,1281127019;-7,9491064804;TAQUARITINGA DO NORTE;2615003;261500;26;Pernambuco;2615003;2000;0,539;0,406;0,656;0,555;0,385;0,255;0,495;0,406;276;0;0;0;0;40085,8137207031;800,9215970736;1;0;0;MRT V;2395,28;1258,93;3531,64;135
